CIRCUIT,DISTRICT,OFFICE,DOCKET,ORIGIN,FILEDATE,FDATEUSE,JURIS,NOS,TITL,SECTION,SUBSECT,RESIDENC,JURY,CLASSACT,DEMANDED,FILEJUDG,FILEMAG,COUNTY,ARBIT,MDLDOCK,PLT,DEF,TRANSDAT,TRANSOFF,TRANSDOC,TRANSORG,TERMDATE,TDATEUSE,TRCLACT,TERMJUDG,TERMMAG,PROCPROG,DISP,NOJ,AMTREC,JUDGMENT,DJOINED,PRETRIAL,TRIBEGAN,TRIALEND,TRMARB,PROSE,IFP,STATUSCD,TAPEYEAR,yr_term,yr_file,new,CASENAME,MAGISINV,OTHERINV,fjc_ID,CDD_ID,cases_tot_yr,cases_tot_typ_yr,cases_pct_tot_yr,cases_tot_yr_term,NOS_t,DISP_t,DEF_typ_old,PLT_typ_old,PLT_typ,DEF_typ
9,79,6,1300933,1,2013-06-05,2013-06-01,federal question,893,NA,1319,CW,-8,N,-8,0,NA,NA,41011,-8,-8,"COOS WATERKEEPER, ET AL","JOHNSON ROCK PRODUCTS, , ET AL",NA,-8,-8,-8,2014-12-15,2014-12-01,-8,NA,NA,4,5,0,0,3,08/14/2013,NA,NA,NA,-8,0,-8,L,2015,2014,2013,1,NA,NA,NA,9-79-1300933-2013-06-05-1,9-79-1300933,301459,1457,0.483,260736,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),BIZ,BIZ,NGO,BIZ
3,13,2,9301976,4,2014-10-10,2014-10-01,US govt plaintiff,893,NA,9604,-8,-8,D,-8,0,NA,NA,42029,-8,-8,"UNITED STATES OF AMERIC, ET AL","BLOSENSKI, ET AL",NA,-8,-8,-8,2016-09-21,2016-09-01,-8,NA,NA,10,13,0,0,0,10/10/2014,NA,NA,NA,-8,2,-8,L,2016,2016,2014,1,NA,NA,NA,3-13-9301976-2014-10-10-1,3-13-9301976,298109,574,0.193,278906,ENVIRONMENTAL MATTERS,Settled,Unknown,FED,FED,IND
4,17,5,1400494,1,2014-09-03,2014-09-01,federal question,893,NA,1319,CW,-8,P,-8,0,NA,NA,37049,-8,-8,"NEUSE RIVERKEEPER FOUND, ET AL","DUKE ENERGY PROGRESS, INC.",NA,-8,-8,-8,2016-06-08,2016-06-01,-8,NA,NA,3,14,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2016,2016,2014,1,NA,NA,NA,4-17-1400494-2014-09-03-1,4-17-1400494,298109,574,0.193,278906,ENVIRONMENTAL MATTERS,Dismissed (want of pros. or lack of juris.),BIZ,NGO,NGO,BIZ
4,25,2,1512554,1,2015-08-20,2015-08-01,federal question,893,NA,1319,CW,-8,N,-8,0,NA,NA,54039,-8,-8,"OHIO VALLEY ENVIRONMENT, ET AL","PRITCHARD MINING COMPANY, INC.",NA,-8,-8,-8,2016-07-25,2016-07-01,-8,NA,NA,2,12,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2016,2016,2015,1,NA,NA,NA,4-25-1512554-2015-08-20-1,4-25-1512554,281925,898,0.319,278906,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,BIZ,Unknown,NGO,BIZ
9,71,3,1501482,1,2015-03-31,2015-03-01,federal question,893,NA,1319,CW,-8,D,-8,0,NA,NA,06097,-8,-8,CALIFORNIA SPORTFISHING PROTEC,"PACIFIC STATES INDUSTRI, ET AL",06/19/2015,5,1501482,1,2015-12-15,2015-12-01,2,NA,NA,10,13,0,0,0,10/06/2015,09/23/2015,NA,NA,-8,0,-8,L,2016,2015,2015,1,NA,NA,NA,9-71-1501482-2015-03-31-1,9-71-1501482,281925,898,0.319,273205,ENVIRONMENTAL MATTERS,Settled,BIZ,NGO,NGO,BIZ
10,88,2,1200527,1,2012-06-05,2012-06-01,federal question,893,NA,1331,-8,-8,P,-8,0,NA,NA,49043,-8,-8,ASARCO,"XSTRATA, ET AL",NA,-8,-8,-8,2016-03-29,2016-03-01,-8,NA,NA,4,6,0,0,2,11/05/2013,NA,NA,NA,-8,0,-8,L,2016,2016,2012,1,NA,NA,NA,10-88-1200527-2012-06-05-1,10-88-1200527,270303,641,0.237,278906,ENVIRONMENTAL MATTERS,Judgement Issued,Unknown,Unknown,BIZ,BIZ
2,07,2,1606989,1,2016-12-19,2016-12-01,US govt plaintiff,893,NA,1331,-8,-8,N,-8,0,NA,NA,36047,-8,-8,UNITED STATES OF AMERICA,"STATE OF NEW YORK, ET AL",NA,-8,-8,-8,2017-04-03,2017-04-01,-8,NA,NA,12,5,1,150,1,NA,NA,NA,NA,-8,0,-8,L,2017,2017,2016,1,NA,NA,NA,2-07-1606989-2016-12-19-1,2-07-1606989,294173,1832,0.623,278803,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),STA,FED,FED,STA
4,24,1,1700004,1,2017-01-09,2017-01-01,US govt plaintiff,893,NA,1319,CW,-8,N,-8,0,NA,NA,54061,-8,-8,"UNITED STATES OF AMERIC, ET AL","GREER INDUSTRIES, INC., ET AL",NA,-8,-8,-8,2017-03-29,2017-03-01,-8,NA,NA,2,5,0,0,1,NA,NA,NA,NA,-8,0,-8,L,2017,2017,2017,1,NA,NA,NA,4-24-1700004-2017-01-09-1,4-24-1700004,275591,1335,0.484,278803,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),BIZ,FED,FED,BIZ
4,25,2,1603769,1,2016-04-20,2016-04-01,federal question,893,NA,1365,-8,-8,N,-8,0,NA,NA,54067,-8,-8,"WEST VIRGINIA HIGHLANDS, ET AL","HUFFMAN, ET AL",NA,-8,-8,-8,2017-03-27,2017-03-01,-8,NA,NA,10,13,0,0,0,01/24/2017,NA,NA,NA,-8,0,-8,L,2017,2017,2016,1,NA,NA,NA,4-25-1603769-2016-04-20-1,4-25-1603769,294173,1832,0.623,278803,ENVIRONMENTAL MATTERS,Settled,Unknown,Unknown,NGO,IND
9,71,3,1603796,1,2016-07-07,2016-07-01,federal question,893,NA,7604,CL,-8,N,-8,0,NA,NA,06001,-8,-8,"CENTER FOR BIOLOGICAL D, ET AL","MCCARTHY, ET AL",NA,-8,-8,-8,2017-04-28,2017-04-01,-8,NA,NA,5,5,0,0,3,09/23/2016,10/04/2016,NA,NA,-8,0,-8,L,2017,2017,2016,1,NA,NA,NA,9-71-1603796-2016-07-07-1,9-71-1603796,294173,1832,0.623,278803,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),FED,NGO,NGO,FED
